transaction_id,anomaly_type,severity,description,column,posting_date,fiscal_period,amount,vendor
TXN000753,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000754,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000755,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000756,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000757,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000758,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,
TXN000759,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000760,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000761,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000762,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000763,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000764,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000765,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000766,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000767,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000768,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000769,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000770,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,
TXN000771,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000772,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000773,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,
TXN000774,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,
TXN000775,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,
TXN000776,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,
TXN000729,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000730,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000731,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000732,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000733,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000734,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000735,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000736,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000737,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000738,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000739,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000740,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000741,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000742,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000743,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000744,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000745,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000746,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000747,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000748,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000749,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000750,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000751,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000752,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000753,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000754,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000755,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000756,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000757,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000758,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000759,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000760,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000761,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000762,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000763,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000764,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000765,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,invoice_date_raw,,,,
TXN000766,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000767,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000768,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000769,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000770,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000771,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000772,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000773,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000774,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,invoice_date_raw,,,,
TXN000775,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,invoice_date_raw,,,,
TXN000776,INVALID_DATE,CRITICAL,Invalid date value: INVALID,invoice_date_raw,,,,
TXN000019,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (5),,2025-01-05,2025-05,,
TXN000038,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (2),,2026-07-02,2026-02,,
TXN000061,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (3),,2025-04-03,2025-03,,
TXN000076,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (1),,2026-11-01,2026-01,,
TXN000082,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (2),,2026-05-02,2026-02,,
TXN000107,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (2),,2026-01-02,2026-02,,
TXN000133,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (2),,2026-09-02,2026-02,,
TXN000144,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN000147,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (1),,2025-10-01,2025-01,,
TXN000185,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-01,2026-01,,
TXN000189,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN000196,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (2),,2026-05-02,2026-02,,
TXN000200,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (10),,2025-03-10,2025-10,,
TXN000210,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (1),,2026-05-01,2026-01,,
TXN000212,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-01,2026-01,,
TXN000215,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (9),,2025-12-09,2025-09,,
TXN000237,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (1),,2026-10-01,2026-01,,
TXN000240,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (4),,2025-06-04,2025-04,,
TXN000242,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (10),,2025-06-10,2025-10,,
TXN000246,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (1),,2026-07-01,2026-01,,
TXN000255,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (2),,2026-04-02,2026-02,,
TXN000259,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (2),,2026-07-02,2026-02,,
TXN000262,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (1),,2026-09-01,2026-01,,
TXN000291,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN000300,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (1),,2026-03-01,2026-01,,
TXN000305,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (3),,2025-05-03,2025-03,,
TXN000307,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (7),,2025-01-07,2025-07,,
TXN000314,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN000320,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (3),,2025-12-03,2025-03,,
TXN000325,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (2),,2026-12-02,2026-02,,
TXN000340,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (2),,2026-08-02,2026-02,,
TXN000344,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-01,2026-01,,
TXN000372,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (1),,2026-05-01,2026-01,,
TXN000380,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (2),,2026-06-02,2026-02,,
TXN000394,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000405,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (1),,2026-09-01,2026-01,,
TXN000414,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (1),,2026-12-01,2026-01,,
TXN000421,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000423,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (2),,2026-05-02,2026-02,,
TXN000435,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (2),,2026-04-02,2026-02,,
TXN000448,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000460,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (8),,2025-12-08,2025-08,,
TXN000469,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (2),,2026-05-02,2026-02,,
TXN000472,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN000492,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000494,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (2),,2026-01-02,2026-02,,
TXN000500,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-01,2026-01,,
TXN000506,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (11),,2025-03-11,2025-11,,
TXN000533,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (2),,2026-01-02,2026-02,,
TXN000536,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (7),,2025-04-07,2025-07,,
TXN000549,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (2),,2026-06-02,2026-02,,
TXN000550,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (1),,2026-06-01,2026-01,,
TXN000556,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (6),,2025-02-06,2025-06,,
TXN000586,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (1),,2026-05-01,2026-01,,
TXN000591,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (10),,2025-03-10,2025-10,,
TXN000592,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (2),,2026-09-02,2026-02,,
TXN000600,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN000602,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (2),,2026-09-02,2026-02,,
TXN000605,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (1),,2026-07-01,2026-01,,
TXN000615,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN000619,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (3),,2025-09-03,2025-03,,
TXN000635,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (1),,2026-12-01,2026-01,,
TXN000652,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (1),,2025-06-01,2025-01,,
TXN000664,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (2),,2026-10-02,2026-02,,
TXN000669,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (1),,2026-07-01,2026-01,,
TXN000677,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (1),,2026-05-01,2026-01,,
TXN000681,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000696,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (2),,2026-10-02,2026-02,,
TXN000708,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN000727,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (1),,2026-08-01,2026-01,,
TXN000784,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN000798,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (2),,2026-07-02,2026-02,,
TXN000806,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (12),,2025-05-12,2025-12,,
TXN000809,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (1),,2026-09-02,2026-01,,
TXN000810,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-12,2026-02,,
TXN000811,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2025-02-13,2025-01,,
TXN000812,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-08,2026-02,,
TXN000813,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (4),,2025-05-16,2025-04,,
TXN000814,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-14,2026-02,,
TXN000815,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-11,2026-02,,
TXN000816,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (8),,2025-09-01,2025-08,,
TXN000817,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-11,2026-02,,
TXN000818,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (4),,2025-05-20,2025-04,,
TXN000819,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-25,2026-01,,
TXN000820,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-19,2026-01,,
TXN000821,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (7),,2025-08-22,2025-07,,
TXN000822,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (4),,2025-05-19,2025-04,,
TXN000823,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-23,2026-02,,
TXN000824,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-05,2026-02,,
TXN000825,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (1),,2026-11-02,2026-01,,
TXN000826,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-03,2026-01,,
TXN000827,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-03,2026-01,,
TXN000828,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-21,2026-01,,
TXN000829,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (3),,2025-04-14,2025-03,,
TXN000830,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2025-03-16,2025-02,,
TXN000831,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (3),,2025-04-19,2025-03,,
TXN000832,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (3),,2025-04-17,2025-03,,
TXN000833,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-16,2026-02,,
TXN000834,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-19,2026-02,,
TXN000835,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-06,2026-02,,
TXN000836,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-05,2026-02,,
TXN000837,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-19,2026-01,,
TXN000838,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (1),,2026-10-02,2026-01,,
TXN000839,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (1),,2026-03-02,2026-01,,
TXN000840,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-03,2026-02,,
TXN000841,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-16,2026-02,,
TXN000842,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (11),,2025-12-18,2025-11,,
TXN000843,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-16,2026-02,,
TXN000844,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (5),,2025-06-13,2025-05,,
TXN000845,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-16,2026-01,,
TXN000846,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (12),,2026-01-17,2025-12,,
TXN000847,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (1),,2026-03-02,2026-01,,
TXN000848,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (5),,2025-06-09,2025-05,,
TXN000849,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-16,2026-01,,
TXN000850,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (7),,2025-08-19,2025-07,,
TXN000851,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-03,2026-02,,
TXN000852,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (10),,2025-11-23,2025-10,,
TXN000853,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000854,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (10),,2025-11-17,2025-10,,
TXN000855,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (12),,2026-01-12,2025-12,,
TXN000856,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-12,2026-02,,
TXN000859,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (1) != fiscal period month (2),,2026-01-02,2026-02,,
TXN000862,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (2),,2026-03-02,2026-02,,
TXN000880,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (10) != fiscal period month (1),,2026-10-01,2026-01,,
TXN000890,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (7),,2025-08-07,2025-07,,
TXN000916,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (1),,2026-12-01,2026-01,,
TXN000928,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN000949,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (2),,2026-06-02,2026-02,,
TXN000960,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (2),,2026-09-02,2026-02,,
TXN000961,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (3) != fiscal period month (8),,2025-03-08,2025-08,,
TXN000975,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (2),,2026-04-02,2026-02,,
TXN000996,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (11) != fiscal period month (2),,2026-11-02,2026-02,,
TXN001001,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (2),,2026-04-02,2026-02,,
TXN001004,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (2),,2026-06-02,2026-02,,
TXN001015,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (7) != fiscal period month (2),,2026-07-02,2026-02,,
TXN001034,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (5) != fiscal period month (1),,2026-05-01,2026-01,,
TXN001045,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (2),,2026-08-02,2026-02,,
TXN001054,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (2),,2026-06-02,2026-02,,
TXN001056,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (1),,2026-06-01,2026-01,,
TXN001061,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (4) != fiscal period month (1),,2026-04-01,2026-01,,
TXN001064,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (8) != fiscal period month (2),,2026-08-02,2026-02,,
TXN001065,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (9) != fiscal period month (1),,2025-09-01,2025-01,,
TXN001103,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (9),,2025-12-09,2025-09,,
TXN001104,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (12) != fiscal period month (1),,2025-12-01,2025-01,,
TXN001109,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (2) != fiscal period month (1),,2026-02-01,2026-01,,
TXN001121,FISCAL_PERIOD_MISMATCH,HIGH,Posting date month (6) != fiscal period month (11),,2025-06-11,2025-11,,
